event,t,dir,months,n_post,M_minus,M_plus,M_plus_lo,M_plus_hi,M_minus_lo,M_minus_hi,dMZ,dEZ,dEZ_lo,dEZ_hi,descriptive_only
A,5,532_trim_ago_set_oct16,"['2016-08', '2016-09', '2016-10']",3,6.7904669114755745,4.261669749184156,3.4701579461300094,5.597028443442723,6.122617716661287,7.641098134218556,-6.435005411716658,3.028896473332481,1.5866298642411214,4.429461894617083,False
A,6,535_trim_set_oct_nov16,"['2016-09', '2016-10', '2016-11']",3,6.618813866411102,3.7550709339546113,3.2175060771279336,5.259615768101628,5.914707664420686,7.4512382907642785,-6.1881252826757125,2.939889293743004,1.512833085814775,4.314708875296641,False
A,7,537_trim_oct_nov_dic16,"['2016-10', '2016-11', '2016-12']",3,6.923309752591232,4.616923849855271,3.8742065911804855,6.105111520132888,6.244694332781866,7.79508582373075,-6.53572154511754,3.779712027300117,2.2622373848236843,5.179215852218669,False
A,8,539_trim_nov_dic_ene17,"['2016-11', '2016-12', '2017-01']",3,6.428036092860398,4.358013260394989,3.606957467968109,5.800080242663038,5.775144895869635,7.317274531673065,-6.320625409712085,3.036304630369656,1.6148896492428848,4.462182559764318,False
A,9,542_trim_dic_ene_feb17,"['2016-12', '2017-01', '2017-02']",3,6.762432150087435,4.661544128411261,3.8022540385921264,5.948471352270487,6.028404882082436,7.583060146720756,-6.629074830507211,3.172430907128479,1.6934933898465356,4.628782409298482,False
A,10,545_trim_ene_feb_mar17,"['2017-01', '2017-02', '2017-03']",3,7.2557515164634045,4.5462521853993705,3.8127363340452542,5.9430516295959865,6.575611892422941,8.089420246707684,-6.980565962529199,3.249126983347026,1.8935313676764347,4.58868096847472,False
A,11,549_trim_feb_mar_abr17,"['2017-02', '2017-03', '2017-04']",3,7.352554830429771,5.197925150289271,4.321089233086172,6.450816657915819,6.711251949340644,8.223452838354566,-7.1593813289314925,3.6152638367695014,2.192833975039089,4.947629148861999,False
A,12,550_trim_mar_abr_may17,"['2017-03', '2017-04', '2017-05']",3,7.917596468976765,5.2919878928553254,4.514682002838317,6.620949294804612,7.2145499815476795,8.709204814191596,-7.622932945357669,4.2068028035843215,2.812397259971111,5.597225498902951,False
B,-12,549_trim_feb_mar_abr17,"['2017-02', '2017-03', '2017-04']",0,0.22002165557931178,0.6523882879145104,0.4508173356626832,1.6517810045920456,0.10467969169666924,1.1675037715186978,0.2604041297192447,0.19939778958181073,-0.7219672014055927,1.1158871946457432,False
B,-11,550_trim_mar_abr_may17,"['2017-03', '2017-04', '2017-05']",0,0.11448689272502441,0.5849888580342559,0.43170139936712476,1.5742179668674756,0.0711516348232121,0.9719499982379363,0.26821759354452,0.25548300733806056,-0.60077129691024,1.114218055212772,False
B,-10,553_trim_abr_may_jun17,"['2017-04', '2017-05', '2017-06']",0,0.16584522345262193,0.9607062534511133,0.5714937500629158,1.7633875442889946,0.08878411519186369,0.9828550080826481,0.3000031050645893,0.49340464543521273,-0.3679888546149594,1.2870830889186666,False
B,-9,580_trim_may_jun_jul17,"['2017-05', '2017-06', '2017-07']",0,1.0669080208336388,1.2203797149408446,0.760415405606836,2.10236707953752,0.4914753555127201,1.7847141620661058,-0.4502711784783336,0.6061086764164957,-0.20914852415442173,1.4620807185976967,False
B,-8,582_trim_jun_jul_ago17,"['2017-06', '2017-07', '2017-08']",0,0.7203306437767312,0.5609019081802046,0.3885762164085993,1.469698186793371,0.37865067668333885,1.5085516693842003,-0.1842071618231107,0.002008095104845441,-0.8413109095126928,0.8291299153407835,False
B,-7,584_trim_jul_ago_set17,"['2017-07', '2017-08', '2017-09']",0,0.5749496179972278,0.0642653732801291,0.04712652245984275,0.7798074577390252,0.21338446049983573,1.4081171952858227,-0.1600927491050531,-1.1486099577319981,-1.93918422384784,-0.29165864005213726,False
B,-6,586_trim_ago_set_oct17,"['2017-08', '2017-09', '2017-10']",0,0.36499629874464923,0.1978132449972826,0.10558741975337295,0.9425487831837177,0.22079001196793013,1.0074666505477696,0.15196873773209832,-0.8469270995471175,-1.6542097932253945,0.007121470739015375,False
B,-5,589_trim_set_oct_nov17,"['2017-09', '2017-10', '2017-11']",0,0.24631926267431997,0.22493746284453775,0.10695564880781654,0.9249886264673126,0.16891569022557265,0.910170062312948,0.41961350448608997,-1.1036712707861533,-1.993011729963357,-0.20928274200417005,False
B,-4,591_trim_oct_nov_dic17,"['2017-10', '2017-11', '2017-12']",0,0.23951941379331837,0.5713795390204446,0.25189755210662346,1.4937292171920171,0.18453107218970957,1.039014816162686,0.1544371454380257,0.0332588441884934,-0.8177182352004638,0.9025312185604044,False
B,-3,593_trim_nov_dic_ene18,"['2017-11', '2017-12', '2018-01']",0,0.2860229481761009,0.641624435465789,0.36680617679924893,1.6055666262169723,0.1718333091781298,1.0381853218493422,0.1642301126868114,0.2545758058742708,-0.6267711966745209,1.1549964819907823,False
B,-2,598_trim_dic_ene_feb18,"['2017-12', '2018-01', '2018-02']",0,0.8368692881764515,1.311617229479534,0.8194929097961381,2.21194333189947,0.5268968998952264,1.7408121522406403,-0.5602158021048853,0.7166397542396211,-0.2749534949983005,1.633827318418409,False
B,-1,601_trim_ene_feb_mar18,"['2018-01', '2018-02', '2018-03']",0,1.0263340242212466,1.3479940573723577,0.8232045063657621,2.319306094769859,0.7585389115663994,1.670885163905217,-0.36401445648708985,0.5384229357275898,-0.4924605229964869,1.5013855595806371,False
B,0,604_trim_feb_mar_abr18,"['2018-02', '2018-03', '2018-04']",1,1.087492050130839,0.932998221013246,0.6474285036904366,2.0877191044191115,0.6680098451024723,2.1211841622201124,-0.9019778040376257,0.4484285690644316,-0.6217560821574758,1.404422381420536,False
B,1,606_trim_mar_abr_may18,"['2018-03', '2018-04', '2018-05']",2,2.2119963447591924,2.0891225756355594,1.6374927059984536,3.228426004266004,1.3843699703438295,3.3072350905266474,-2.1911265324170257,1.4408988607238267,0.455182083626898,2.4406369067688947,False
B,2,610_trim_abr_may_jun18,"['2018-04', '2018-05', '2018-06']",3,4.390107489504211,3.744785773863678,3.0459500354709665,4.877098608116855,3.59642003362016,5.46303596698427,-4.263867622912063,3.1038793793804564,1.9878628398315443,4.19946313929404,False
B,3,613_trim_may_jun_jul18,"['2018-05', '2018-06', '2018-07']",3,5.432248201594957,5.314734285104601,4.6651314251284886,6.619516945730408,4.6617898926397,6.455165971395117,-5.432248201594957,4.771367519081171,3.4993759911049436,5.907923698465759,False
B,4,616_trim_jun_jul_ago18,"['2018-06', '2018-07', '2018-08']",3,5.980495399048539,5.68242442927408,5.07658256024344,7.09871510170425,5.234620900262982,6.967495545917398,-5.9558620006777385,5.2311621700994255,3.988803962295628,6.407169695791555,False
B,5,618_trim_jul_ago_set18,"['2018-07', '2018-08', '2018-09']",3,6.182218670366225,5.671314607943719,5.050771820527674,7.077224595904291,5.407477120747853,7.053704258039343,-6.138996038990159,5.286624577451173,4.063054237949357,6.569545445848945,False
B,6,620_trim_ago_set_oct18,"['2018-08', '2018-09', '2018-10']",3,6.643827736245085,5.130700802487128,4.462464444932564,6.4987025239202305,5.887961692396208,7.544593772710157,-6.627026467341198,4.481440412488094,3.1859295148920372,5.8472070183269675,False
B,7,621_trim_set_oct_nov18,"['2018-09', '2018-10', '2018-11']",3,6.79305816750478,5.697337944738925,4.838744455454531,6.941472603975647,6.1484320643554025,7.690558267533216,-6.724086909863057,4.752465042400665,3.4924781433290213,6.058935934249119,False
B,8,623_trim_oct_nov_dic18,"['2018-10', '2018-11', '2018-12']",3,7.121359247409845,5.652275760685291,4.992688016248373,6.885462757566491,6.385827148014176,8.00184491274002,-7.121359247409845,4.655843896036993,3.394954038198673,5.894528200375061,False
B,9,625_trim_nov_dic_ene19,"['2018-11', '2018-12', '2019-01']",3,7.426230046646569,5.719340275632115,5.095938992001408,6.9784525451192865,6.757753635695904,8.324052375164184,-7.397918457823669,4.594688773745682,3.406779034480026,5.845732602748781,False
B,10,631_trim_dic_ene_feb19,"['2018-12', '2019-01', '2019-02']",3,7.827285276807845,5.185316129142556,4.697019695366601,6.432146720954403,7.1000326375280896,8.67696668899319,-7.827285276807845,3.864323700195355,2.7060271503378925,5.124399973639966,False
