dir,survey,period,file,status,n_vars,concept,candidate_variables
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,informality,
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,monthly_earnings,ingtot
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,hours,
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,weight,factor
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,psu,conglome
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,stratum,estrato
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,geography,dominio
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,month_year,
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,industry,
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,occupation,
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,household_id,vivienda|hogar
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,person_id,codperso
65_epe_personas_ene_feb_mar_2004,EPE,2004-01,Epe-Personas Ene-Feb-Mar-2004.csv,ok,87,panel_rotation,
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,employment_indicator,ocu200
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,age,p208b1|p208b2|p208b3
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,sex,p207a|p207b
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,dependent_worker,
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,self_employment,
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,informality,
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,monthly_earnings,ingtot
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,hours,
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,weight,factor
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,psu,conglome
117_trim_ene_feb_mar_2005,EPE,2005-01,Trim Ene-Feb-Mar 2005.sav,ok,90,stratum,estrato
